"","Zipcodes","Inquiries","Applied","Accepted"
"1","97527",40,13,3
"2","97306",33,7,2
"3","97302",67,20,13
"4","97026",5,1,1
"5","97015",55,18,8
"6","97321",56,13,4
"7","97030",44,16,7
"8","97006",109,44,16
"9","97219",93,48,17
"10","97220",63,33,11
"11","97504",86,36,20
"12","97056",27,14,8
"13","97212",47,17,8
"14","97224",84,35,12
"15","97086",77,30,11
"16","97213",68,27,7
"17","97132",48,19,6
"18","97362",13,8,3
"19","97477",51,10,1
"20","97071",49,11,3
"21","97089",28,13,4
"22","97008",69,33,17
"23","97103",24,9,4
"24","97225",59,25,6
"25","97222",38,20,6
"26","97230",64,27,7
"27","97520",89,40,18
"28","97119",10,5,1
"29","97305",43,11,5
"30","97759",25,12,8
"31","97603",36,14,3
"32","97229",169,72,26
"33","97501",65,18,5
"34","97034",64,23,12
"35","97232",16,9,5
"36","97007",191,60,20
"37","97202",58,19,7
"38","97060",41,13,4
"39","97051",26,17,3
"40","97013",39,14,7
"41","97233",43,15,3
"42","97140",71,21,6
"43","97124",112,48,18
"44","97267",40,16,3
"45","97283",3,2,2
"46","97217",45,18,7
"47","97203",73,27,7
"48","97530",16,6,3
"49","97064",7,4,1
"50","97080",86,23,10
"51","97266",53,11,4
"52","97537",16,7,3
"53","97223",120,41,17
"54","97526",38,9,5
"55","97070",37,15,4
"56","97404",54,11,3
"57","97045",75,33,12
"58","97236",39,12,4
"59","97123",70,33,12
"60","97701",122,43,11
"61","97330",96,34,10
"62","97303",54,17,7
"63","97630",2,2,1
"64","97055",28,11,5
"65","97206",94,33,8
"66","97128",55,24,6
"67","97405",80,28,16
"68","97017",2,1,1
"69","97133",11,4,1
"70","97009",14,6,1
"71","97383",13,5,1
"72","97741",12,5,2
"73","97391",8,2,1
"74","97338",22,3,1
"75","97211",52,21,5
"76","97304",47,12,5
"77","97801",35,13,6
"78","97385",7,5,4
"79","97381",46,14,5
"80","97062",88,29,11
"81","97068",68,33,11
"82","97814",9,3,2
"83","97487",12,5,2
"84","97221",30,12,4
"85","97218",22,7,3
"86","97850",15,5,1
"87","97386",14,2,2
"88","97035",57,19,6
"89","97116",47,12,3
"90","97004",4,1,1
"91","97231",11,7,3
"92","97209",4,3,2
"93","97401",68,26,9
"94","97117",2,2,2
"95","97408",28,11,6
"96","97114",3,2,1
"97","97411",14,2,2
"98","97420",27,5,1
"99","97470",33,2,2
"100","97141",13,3,3
"101","97214",26,9,4
"102","97216",34,13,4
"103","97146",9,3,1
"104","97502",39,16,4
"105","97478",46,9,1
"106","97361",15,5,1
"107","97378",5,1,0
"108","97294",1,1,0
"109","97016",15,5,0
"110","97453",2,1,0
"111","97333",28,13,1
"112","97446",6,2,1
"113","97882",7,5,0
"114","97201",22,10,2
"115","97524",14,3,1
"116","97754",22,6,1
"117","97739",19,3,0
"118","97031",41,10,0
"119","97707",9,3,0
"120","97355",37,11,2
"121","97886",2,1,0
"122","97101",3,1,0
"123","97454",2,1,0
"124","97301",52,15,2
"125","97756",39,4,0
"126","97403",22,8,3
"127","97351",9,4,0
"128","97836",7,4,2
"129","97402",48,9,1
"130","97702",79,16,4
"131","97002",11,4,1
"132","97038",24,9,1
"133","97503",9,1,0
"134","97416",2,1,0
"135","97137",7,2,0
"136","97444",7,5,1
"137","97720",9,3,1
"138","97131",2,1,0
"139","97365",10,3,0
"140","97348",1,1,0
"141","97325",3,1,0
"142","97022",5,3,1
"143","97471",35,9,4
"144","97148",7,2,0
"145","97479",14,1,0
"146","97601",22,7,1
"147","97005",37,7,3
"148","97392",5,2,0
"149","97913",4,1,0
"150","97424",19,6,3
"151","97495",6,1,0
"152","97048",8,1,0
"153","97456",3,3,0
"154","97417",6,1,0
"155","97322",24,12,0
"156","97053",6,3,1
"157","97113",33,7,3
"158","97914",12,5,2
"159","97838",27,11,4
"160","97439",8,2,0
"161","97523",7,1,0
"162","97127",4,1,0
"163","97215",28,9,6
"164","97019",6,4,0
"165","97496",5,2,0
"166","97841",1,1,0
"167","97317",23,7,1
"168","97448",17,3,1
"169","97426",13,3,1
"170","97136",6,2,0
"171","97532",3,2,0
"172","97437",3,1,0
"173","97106",12,5,0
"174","97459",17,2,0
"175","97497",3,1,0
"176","97023",11,3,0
"177","97738",4,2,0
"178","97298",2,2,0
"179","97461",2,1,0
"180","97336",1,1,0
"181","97138",13,3,0
"182","97536",4,1,0
"183","97498",3,1,0
"184","97227",4,2,1
"185","97210",8,4,1
"186","97406",2,1,0
"187","97110",3,1,0
"188","97370",13,2,0
"189","97415",12,1,0
"190","97540",13,5,1
"191","97058",17,6,1
"192","97419",4,1,0
"193","97367",5,1,0
"194","97065",3,2,0
"195","13952",1,1,0
"196","97018",4,3,1
"197","97115",4,2,2
"198","97423",3,2,1
"199","97341",2,2,2
"200","97024",15,4,1
"201","97111",6,3,2
"202","97375",1,1,1
"203","97413",2,1,1
"204","97239",12,5,2
"205","97049",1,1,1
"206","97041",7,3,1
"207","97462",6,3,1
"208","97281",1,1,1
"209","97760",7,2,0
"210","97238",1,1,0
"211","97525",8,1,0
"212","97885",1,1,0
"213","97736",2,1,0
"214","97109",1,1,0
"215","97539",5,1,0
"216","97326",2,1,0
"217","97488",3,1,0
"218","97388",1,1,0
"219","97458",5,1,0
"220","97543",2,1,0
"221","97467",11,1,0
"222","97339",4,1,0
"223","97037",2,1,0
"224","97862",1,1,0
"225","97327",3,1,0
"226","97042",4,0,0
"227","97463",3,0,0
"228","97457",17,0,0
"229","97535",8,0,0
"230","97021",2,0,0
"231","97708",5,0,0
"232","97883",2,0,0
"233","97144",1,0,0
"234","97352",6,0,0
"235","97307",1,0,0
"236","97396",4,0,0
"237","97844",6,0,0
"238","97032",8,0,0
"239","97331",1,0,0
"240","97020",4,0,0
"241","97447",2,0,0
"242","97818",4,0,0
"243","97828",1,0,0
"244","97538",1,0,0
"245","97374",4,0,0
"246","97443",3,0,0
"247","97431",2,0,0
"248","97627",2,0,0
"249","97734",6,0,0
"250","97014",4,0,0
"251","97429",1,0,0
"252","97499",1,0,0
"253","97753",3,0,0
"254","97280",1,0,0
"255","97544",1,0,0
"256","97112",2,0,0
"257","97394",2,0,0
"258","97528",2,0,0
"259","97027",5,0,0
"260","97875",2,0,0
"261","97380",1,0,0
"262","97371",1,0,0
"263","97121",1,0,0
"264","97389",2,0,0
"265","97430",1,0,0
"266","97450",1,0,0
"267","97054",3,0,0
"268","97632",1,0,0
"269","97469",5,0,0
"270","97870",1,0,0
"271","97856",1,0,0
"272","97434",1,0,0
"273","97918",2,0,0
"274","97481",1,0,0
"275","97867",1,0,0
"276","97845",2,0,0
"277","97040",1,0,0
"278","97623",2,0,0
"279","97721",1,0,0
"280","97364",2,0,0
"281","97125",1,0,0
"282","97358",2,0,0
"283","97827",3,0,0
"284","97308",1,0,0
"285","97823",1,0,0
"286","97384",1,0,0
"287","97438",1,0,0
"288","97044",2,0,0
"289","97835",2,0,0
"290","97541",1,0,0
"291","97846",1,0,0
"292","97455",4,0,0
"293","97442",1,0,0
"294","97843",1,0,0
"295","97865",1,0,0
"296","97492",1,0,0
"297","97067",1,0,0
"298","97810",1,0,0
"299","97435",1,0,0
"300","97761",1,0,0
"301","97641",1,0,0
"302","97869",1,0,0
"303","97343",1,0,0
"304","97876",1,0,0
"305","97118",1,0,0
"306","97868",1,0,0
"307","97624",1,0,0
"308","97493",1,0,0
"309","97347",1,0,0
